League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Scottish Division 1,13/08/94,Airdrie,Dunfermline,0.0,0.0,D
Scottish Division 1,13/08/94,Ayr,Hamilton,1.0,1.0,D
Scottish Division 1,13/08/94,Clydebank,Stranraer,2.0,0.0,H
Scottish Division 1,13/08/94,Dundee,St Mirren,2.0,0.0,H
Scottish Division 1,13/08/94,Raith Rvs,St Johnstone,1.0,1.0,D
Scottish Division 1,20/08/94,Airdrie,St Johnstone,0.0,0.0,D
Scottish Division 1,20/08/94,Ayr,St Mirren,1.0,1.0,D
Scottish Division 1,20/08/94,Clydebank,Dunfermline,0.0,1.0,A
Scottish Division 1,20/08/94,Dundee,Stranraer,3.0,1.0,H
Scottish Division 1,20/08/94,Raith Rvs,Hamilton,1.0,1.0,D
Scottish Division 1,28/08/94,Dunfermline,Raith Rvs,1.0,0.0,H
Scottish Division 1,28/08/94,Hamilton,Airdrie,2.0,6.0,A
Scottish Division 1,28/08/94,St Johnstone,Dundee,0.0,1.0,A
Scottish Division 1,28/08/94,St Mirren,Clydebank,2.0,1.0,H
Scottish Division 1,28/08/94,Stranraer,Ayr,2.0,1.0,H
Scottish Division 1,03/09/94,Ayr,St Johnstone,3.0,4.0,A
Scottish Division 1,03/09/94,Dundee,Airdrie,1.0,1.0,D
Scottish Division 1,03/09/94,Hamilton,Stranraer,1.0,0.0,H
Scottish Division 1,03/09/94,Raith Rvs,Clydebank,1.0,1.0,D
Scottish Division 1,03/09/94,St Mirren,Dunfermline,1.0,1.0,D
Scottish Division 1,10/09/94,Airdrie,Ayr,0.0,0.0,D
Scottish Division 1,10/09/94,Clydebank,Dundee,5.0,2.0,H
Scottish Division 1,10/09/94,Dunfermline,Hamilton,4.0,0.0,H
Scottish Division 1,10/09/94,St Johnstone,St Mirren,1.0,1.0,D
Scottish Division 1,10/09/94,Stranraer,Raith Rvs,0.0,0.0,D
Scottish Division 1,24/09/94,Airdrie,Clydebank,2.0,0.0,H
Scottish Division 1,24/09/94,Ayr,Dundee,3.0,2.0,H
Scottish Division 1,24/09/94,Dunfermline,Stranraer,1.0,0.0,H
Scottish Division 1,24/09/94,St Johnstone,Hamilton,1.0,1.0,D
Scottish Division 1,24/09/94,St Mirren,Raith Rvs,1.0,2.0,A
Scottish Division 1,01/10/94,Clydebank,St Johnstone,0.0,0.0,D
Scottish Division 1,01/10/94,Dundee,Dunfermline,4.0,4.0,D
Scottish Division 1,01/10/94,Hamilton,St Mirren,2.0,2.0,D
Scottish Division 1,01/10/94,Raith Rvs,Ayr,3.0,0.0,H
Scottish Division 1,01/10/94,Stranraer,Airdrie,0.0,1.0,A
Scottish Division 1,08/10/94,Airdrie,Raith Rvs,0.0,0.0,D
Scottish Division 1,08/10/94,Clydebank,Ayr,3.0,0.0,H
Scottish Division 1,08/10/94,Dundee,Hamilton,2.0,0.0,H
Scottish Division 1,08/10/94,Dunfermline,St Johnstone,3.0,0.0,H
Scottish Division 1,08/10/94,Stranraer,St Mirren,1.0,1.0,D
Scottish Division 1,15/10/94,Ayr,Dunfermline,0.0,0.0,D
Scottish Division 1,15/10/94,Hamilton,Clydebank,0.0,0.0,D
Scottish Division 1,15/10/94,Raith Rvs,Dundee,1.0,1.0,D
Scottish Division 1,15/10/94,St Johnstone,Stranraer,3.0,0.0,H
Scottish Division 1,15/10/94,St Mirren,Airdrie,0.0,1.0,A
Scottish Division 1,22/10/94,Dunfermline,Airdrie,2.0,2.0,D
Scottish Division 1,22/10/94,Hamilton,Ayr,2.0,0.0,H
Scottish Division 1,22/10/94,St Johnstone,Raith Rvs,3.0,1.0,H
Scottish Division 1,22/10/94,St Mirren,Dundee,1.0,2.0,A
Scottish Division 1,22/10/94,Stranraer,Clydebank,0.0,1.0,A
Scottish Division 1,29/10/94,Airdrie,Hamilton,1.0,0.0,H
Scottish Division 1,29/10/94,Ayr,Stranraer,2.0,1.0,H
Scottish Division 1,29/10/94,Clydebank,St Mirren,1.0,1.0,D
Scottish Division 1,29/10/94,Dundee,St Johnstone,1.0,0.0,H
Scottish Division 1,29/10/94,Raith Rvs,Dunfermline,2.0,5.0,A
Scottish Division 1,05/11/94,Dunfermline,Clydebank,4.0,1.0,H
Scottish Division 1,05/11/94,Hamilton,Raith Rvs,0.0,3.0,A
Scottish Division 1,05/11/94,St Mirren,Ayr,1.0,0.0,H
Scottish Division 1,12/11/94,Ayr,Airdrie,0.0,3.0,A
Scottish Division 1,12/11/94,Dundee,Clydebank,2.0,0.0,H
Scottish Division 1,12/11/94,Hamilton,Dunfermline,3.0,1.0,H
Scottish Division 1,12/11/94,Raith Rvs,Stranraer,4.0,2.0,H
Scottish Division 1,12/11/94,St Mirren,St Johnstone,2.0,2.0,D
Scottish Division 1,19/11/94,Airdrie,Dundee,2.0,1.0,H
Scottish Division 1,19/11/94,Clydebank,Raith Rvs,0.0,3.0,A
